Silver Futures Historical Data
Date,Price,Open,High,Low,Vol.,Change %,Candle %
"Mar 10, 2019",15.324,15.32,15.55,15.135,217.97K,-0.16%,0.026%
"Mar 03, 2019",15.349,15.225,15.385,14.985,349.74K,0.61%,0.808%
"Feb 24, 2019",15.256,15.98,16.06,15.165,310.51K,-4.72%,-4.746%
"Feb 17, 2019",16.012,15.86,16.295,15.82,151.40K,1.09%,0.949%
"Feb 10, 2019",15.84,15.92,15.925,15.545,73.78K,-0.42%,-0.505%
"Feb 03, 2019",15.907,16,16.02,15.74,47.47K,-0.74%,-0.585%
"Jan 27, 2019",16.026,15.855,16.29,15.705,24.11K,1.49%,1.067%
"Jan 20, 2019",15.791,15.465,15.86,15.28,10.71K,1.95%,2.064%
"Jan 13, 2019",15.489,15.735,15.825,15.435,9.26K,-1.66%,-1.588%
"Jan 06, 2019",15.751,15.895,15.96,15.66,16.23K,-0.79%,-0.914%
"Dec 30, 2018",15.876,15.545,16.04,15.475,9.60K,2.29%,2.085%
"Dec 23, 2018",15.521,14.825,15.535,14.81,6.26K,4.96%,4.484%
"Dec 16, 2018",14.788,14.72,14.995,14.705,5.76K,0.45%,0.460%
"Dec 09, 2018",14.722,14.82,14.975,14.645,10.19K,-0.41%,-0.666%
"Dec 02, 2018",14.782,14.42,14.83,14.385,6.57K,3.32%,2.449%
"Nov 25, 2018",14.307,14.5,14.615,14.21,9.54K,-1.07%,-1.349%
"Nov 18, 2018",14.462,14.595,14.75,14.405,2.40K,-0.96%,-0.920%
"Nov 11, 2018",14.602,14.38,14.61,14.1,6.89K,1.73%,1.520%
"Nov 04, 2018",14.354,14.96,14.96,14.3,9.26K,-4.08%,-4.222%
"Oct 28, 2018",14.964,14.895,15.095,14.45,2.78K,0.42%,0.461%
"Oct 21, 2018",14.901,14.885,15.03,14.775,1.41K,0.38%,0.107%
"Oct 14, 2018",14.845,14.86,15.045,14.72,1.97K,0.07%,-0.101%
"Oct 07, 2018",14.835,14.83,14.915,14.485,1.49K,-0.11%,0.034%
"Sep 30, 2018",14.852,14.815,15.08,14.585,3.92K,-0.31%,0.249%
"Sep 23, 2018",14.898,14.54,14.91,14.395,1.34K,2.48%,2.403%
"Sep 16, 2018",14.538,14.37,14.61,14.34,1.39K,1.47%,1.156%
"Sep 09, 2018",14.327,14.4,14.525,14.155,3.48K,-0.13%,-0.510%
